node,record_id,name,layer,layer_name,degree,cross_layer_degree,betweenness_centrality,PCA_PC1,PCA_PC2,betweenness_rank,cross_layer_bridge_rank
152,PUBCHEM_69430,acetyl cyanide,1,Simple organic chemistry,20,4,0.027530391683155686,-2.3684018430870477,-0.24600776293766216,13,103
88,PUBCHEM_284,formic acid,1,Simple organic chemistry,18,4,0.007091586661639461,-2.8028273607260563,-1.014231873623392,44,104
166,PUBCHEM_787,hydroxylamine,1,Simple organic chemistry,9,4,0.005794274312859024,-2.668074856257394,-1.219317330210496,54,105
32,PUBCHEM_1045,putrescine,3,Pre-nucleic/functional systems,10,4,0.0003896798451491542,-1.470403195223136,1.1525865508110384,110,106
86,PUBCHEM_273,cadaverine,3,Pre-nucleic/functional systems,10,4,0.0003896798451491542,-1.2173701023944263,1.543843876237336,111,107
7,L0_463c82f2667d70f0,Struvite,0,Inorganic/mineral chemistry,5,4,0.00014180995992875843,1.849217469287354,-3.9945978503787156,117,108
106,PUBCHEM_5793,glucose,2,Prebiotic building blocks,10,3,0.017710309930423784,1.5001096801455958,-0.3273829358266823,19,109
143,PUBCHEM_6341,ethylamine,1,Simple organic chemistry,13,3,0.0063689834247635,-2.717241077341845,0.5177587374239718,47,110
119,PUBCHEM_6058,cysteamine,3,Pre-nucleic/functional systems,8,3,0.000366896871748246,-2.2997553603270187,0.5294382989234969,112,111
186,PUBCHEM_9864,cyanamide,2,Prebiotic building blocks,4,3,0.00018779807899896504,-2.5444611136316175,-1.0264744321667987,115,112
71,PUBCHEM_171548,biotin,2,Prebiotic building blocks,11,3,0.0,2.4616780663876625,1.3849439234606893,141,113
174,PUBCHEM_878,methyl mercaptan,2,Prebiotic building blocks,3,3,0.0,-3.235942927875013,0.4286489086118226,142,114
179,PUBCHEM_936,nicotinamide,2,Prebiotic building blocks,5,2,0.15068702619459795,-0.6574228933447541,-0.04162945892766592,1,115
46,PUBCHEM_1140,toluene,1,Simple organic chemistry,5,2,0.13262447213449724,-1.9499213379816434,0.7715395803389783,4,116
138,PUBCHEM_6324,ethane,1,Simple organic chemistry,8,2,0.027926003545892697,-3.400395552061131,0.8082266725385955,11,117
