record_id,source_name,layer,layer_name,pubchem_cid,inchikey,existing_formula,canonical_smiles,Canonical_RDKit_SMILES,RDKit_MolecularFormula,RDKit_MolecularWeight,RDKit_LogP,RDKit_TPSA,RDKit_HBondDonors,RDKit_HBondAcceptors,RDKit_RotatableBonds,RDKit_RingCount,RDKit_AromaticRings,RDKit_AliphaticRings,RDKit_HeavyAtomCount,RDKit_HeteroAtoms,RDKit_FractionCSP3,RDKit_MolMR,RDKit_FormalCharge,RDKit_AtomCount,RDKit_CarbonCount,RDKit_NitrogenCount,RDKit_OxygenCount,RDKit_PhosphorusCount,RDKit_SulfurCount,PCA_PC1,PCA_PC2,PCA_PC3,network_degree,cross_layer_degree,betweenness_centrality
PUBCHEM_1032,propionic acid,1,Simple organic chemistry,1032,XBDQKXXYIPTUBI-UHFFFAOYSA-N,,CCC(=O)O,CCC(=O)O,C3H6O2,74.079,0.481,37.3,1.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,0.6666666666666666,17.9268,0.0,5.0,3.0,0.0,2.0,0.0,0.0,-2.296821262240351,0.39088703366010324,-0.5799524732864682,59,31,0.023938675963220885
PUBCHEM_1045,putrescine,3,Pre-nucleic/functional systems,1045,KIDHWZJUCRJVML-UHFFFAOYSA-N,,C(CCN)CN,NCCCCN,C4H12N2,88.15400000000001,-0.31599999999999956,52.04,2.0,2.0,3.0,0.0,0.0,0.0,6.0,2.0,1.0,27.342799999999997,0.0,6.0,4.0,2.0,0.0,0.0,0.0,-1.470403195223136,1.1525865508110384,-0.40611903217696127,10,4,0.0003896798451491542
PUBCHEM_1054,pyridoxine,2,Prebiotic building blocks,1054,LXNHXLLTXMVWPM-UHFFFAOYSA-N,,CC1=NC=C(C(=C1O)CO)CO,Cc1ncc(CO)c(CO)c1O,C8H11NO3,169.17999999999998,0.08022000000000001,73.58000000000001,3.0,4.0,2.0,1.0,1.0,0.0,12.0,4.0,0.375,42.484400000000015,0.0,12.0,8.0,1.0,3.0,0.0,0.0,0.5617391598998251,0.6704225792053399,0.71647954865237,1,0,0.0
PUBCHEM_1060,pyruvic acid,1,Simple organic chemistry,1060,LCTONWCANYUPML-UHFFFAOYSA-N,,CC(=O)C(=O)O,CC(=O)C(=O)O,C3H4O3,88.06199999999998,-0.34000000000000014,54.370000000000005,1.0,2.0,1.0,0.0,0.0,0.0,6.0,3.0,0.3333333333333333,18.3168,0.0,6.0,3.0,0.0,3.0,0.0,0.0,-1.903966477504272,-0.3097112300039161,-0.4956291568157065,41,20,0.004593421614407011
PUBCHEM_1068,dimethyl sulfide,2,Prebiotic building blocks,1068,QMMFVYPAHWMCMS-UHFFFAOYSA-N,,CSC,CSC,C2H6S,62.137,0.9792,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,19.438999999999997,0.0,3.0,2.0,0.0,0.0,0.0,1.0,-3.1737625447106614,0.6571864939310621,-0.153674989650149,1,1,0.0
PUBCHEM_107909,phosphorous acid,2,Prebiotic building blocks,107909,OJMIONKXNSYLSR-UHFFFAOYSA-N,,OP(O)O,OP(O)O,H3O3P,81.99499999999999,-0.8098000000000001,60.69,3.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,13.5764,0.0,4.0,0.0,0.0,3.0,1.0,0.0,-1.6057506039212548,-1.4288799504159584,-0.43323835825264617,0,0,0.0
PUBCHEM_10975657,ribose,2,Prebiotic building blocks,10975657,SRBFZHDQGSBBOR-SOOFDHNKSA-N,,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,OC1OC[C@@H](O)[C@@H](O)[C@H]1O,C5H10O5,150.13,-2.5823,90.15,4.0,5.0,0.0,1.0,0.0,1.0,10.0,5.0,1.0,29.979199999999988,0.0,10.0,5.0,0.0,5.0,0.0,0.0,0.6591098457387748,-0.3837994966462716,-1.2206055243206466,2,0,0.0
PUBCHEM_11005,myristic acid,2,Prebiotic building blocks,11005,TUNFSRHWOTWDNC-UHFFFAOYSA-N,,CCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCC(=O)O,C14H28O2,228.37599999999995,4.772100000000004,37.3,1.0,1.0,12.0,0.0,0.0,0.0,16.0,2.0,0.9285714285714286,68.71380000000006,0.0,16.0,14.0,0.0,2.0,0.0,0.0,0.509154490313776,4.995404716737948,-1.1486668917954024,37,22,0.001520180025389248
PUBCHEM_1102,spermidine,3,Pre-nucleic/functional systems,1102,ATHGHQPFGPMSJY-UHFFFAOYSA-N,,C(CCNCCCN)CN,NCCCCNCCCN,C7H19N3,145.25,-0.33629999999999843,64.07,3.0,3.0,7.0,0.0,0.0,0.0,10.0,3.0,1.0,44.8295,0.0,10.0,7.0,3.0,0.0,0.0,0.0,-0.010587937357559925,2.1932864618219123,-0.4473886873745781,8,2,2.4643288400404145e-05
PUBCHEM_1103,spermine,3,Pre-nucleic/functional systems,1103,PFNFFQXMRSDOHW-UHFFFAOYSA-N,,C(CCNCCCN)CNCCCN,NCCCNCCCCNCCCN,C10H26N4,202.34599999999998,-0.35659999999999753,76.1,4.0,4.0,11.0,0.0,0.0,0.0,14.0,4.0,1.0,62.31620000000004,0.0,14.0,10.0,4.0,0.0,0.0,0.0,1.449227320508016,3.2339863728327862,-0.48865834257219565,8,2,2.4643288400404145e-05
PUBCHEM_1110,succinic acid,1,Simple organic chemistry,1110,KDYFGRWQOYBRFD-UHFFFAOYSA-N,,C(CC(=O)O)C(=O)O,O=C(O)CCC(=O)O,C4H6O4,118.08799999999998,-0.06420000000000015,74.6,2.0,2.0,3.0,0.0,0.0,0.0,8.0,4.0,0.5,24.505599999999994,0.0,8.0,4.0,0.0,4.0,0.0,0.0,-1.121240467034993,0.3076748309507059,-0.9039118819867337,52,32,0.0072569307090869645
PUBCHEM_11161,triglycine,3,Pre-nucleic/functional systems,11161,XKUKSGPZAADMRA-UHFFFAOYSA-N,,C(C(=O)NCC(=O)NCC(=O)O)N,NCC(=O)NCC(=O)NCC(=O)O,C6H11N3O4,189.171,-2.737899999999999,121.52000000000001,4.0,4.0,5.0,0.0,0.0,0.0,13.0,7.0,0.5,42.709599999999995,0.0,13.0,6.0,3.0,4.0,0.0,0.0,1.0974986463431482,0.24485340533999342,-0.6173386650991318,23,16,8.56004888794935e-05
PUBCHEM_11163,glycylglycine,3,Pre-nucleic/functional systems,11163,YMAWOPBAYDPSLA-UHFFFAOYSA-N,,C(C(=O)NCC(=O)O)N,NCC(=O)NCC(=O)O,C4H8N2O3,132.11899999999997,-1.854099999999999,92.42,3.0,3.0,3.0,0.0,0.0,0.0,9.0,5.0,0.5,29.699899999999996,0.0,9.0,4.0,2.0,3.0,0.0,0.0,-0.3629866479535967,-0.04727503120586368,-0.4923445275794799,35,28,0.0006833682379008116
PUBCHEM_1130,thiamine,2,Prebiotic building blocks,1130,JZRWCGZRTZMZEH-UHFFFAOYSA-N,,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,C12H17N4OS+,265.36199999999997,0.60774,75.91,2.0,5.0,4.0,2.0,2.0,0.0,18.0,6.0,0.4166666666666667,70.32420000000002,1.0,18.0,12.0,4.0,1.0,0.0,1.0,2.591639206087073,1.7085233399372977,6.1920256259092366,1,0,0.0
PUBCHEM_1135,thymine,2,Prebiotic building blocks,1135,RWQNBRDOKXIBIV-UHFFFAOYSA-N,,CC1=CNC(=O)NC1=O,Cc1c[nH]c(=O)[nH]c1=O,C5H6N2O2,126.115,-0.6283800000000002,65.72,2.0,2.0,0.0,1.0,1.0,0.0,9.0,4.0,0.2,32.420399999999994,0.0,9.0,5.0,2.0,2.0,0.0,0.0,-0.42364311575726504,-0.32488438605343123,1.294497978105888,9,4,0.1302734488007196
PUBCHEM_1140,toluene,1,Simple organic chemistry,1140,YXFVVABEGXRONW-UHFFFAOYSA-N,,CC1=CC=CC=C1,Cc1ccccc1,C7H8,92.14099999999999,1.99502,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.14285714285714285,31.17899999999999,0.0,7.0,7.0,0.0,0.0,0.0,0.0,-1.9499213379816434,0.7715395803389783,1.4666349828920382,5,2,0.13262447213449724
PUBCHEM_1146,trimethylamine,1,Simple organic chemistry,1146,GETQZCLCWQTVFV-UHFFFAOYSA-N,,CN(C)C,CN(C)C,C3H9N,59.111999999999995,0.17779999999999996,3.24,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,19.610999999999997,0.0,4.0,3.0,1.0,0.0,0.0,0.0,-2.7205521399901422,0.7675671509583035,-0.3148100119662891,1,0,0.0
PUBCHEM_1174,uracil,2,Prebiotic building blocks,1174,ISAKRJDGNUQOIC-UHFFFAOYSA-N,,C1=CNC(=O)NC1=O,O=c1cc[nH]c(=O)[nH]1,C4H4N2O2,112.08799999999998,-0.9368000000000001,65.72,2.0,2.0,0.0,1.0,1.0,0.0,8.0,4.0,0.0,27.6834,0.0,8.0,4.0,2.0,2.0,0.0,0.0,-0.641231377266418,-0.7865839707394222,1.440650596305022,7,1,0.013474569771686453
PUBCHEM_1176,urea,1,Simple organic chemistry,1176,XSQUKJJJFZCRTK-UHFFFAOYSA-N,,C(=O)(N)N,NC(N)=O,CH4N2O,60.05599999999999,-0.9762,69.11,2.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,13.7708,0.0,4.0,1.0,2.0,1.0,0.0,0.0,-2.138273977467859,-1.1427479809984942,0.48929954006391335,45,23,0.08135692741170657
PUBCHEM_1188,xanthine,2,Prebiotic building blocks,1188,LRFVTYWOQMYALW-UHFFFAOYSA-N,,C1=NC2=C(N1)C(=O)NC(=O)N2,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,C5H4N4O2,152.113,-1.0605000000000002,94.4,3.0,3.0,0.0,2.0,2.0,0.0,11.0,6.0,0.0,37.33509999999998,0.0,11.0,5.0,4.0,2.0,0.0,0.0,1.0774942997759138,-0.7830404014058773,2.876524286457828,9,1,0.011273465162481948
